S.No,DstMAC,SrcMAC,SrcAd,DstAd,SrcPort,DstPort,PacketLength
1,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,172.217.167.14,55092,443,407
2,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,172.217.167.14,55092,443,1466
3,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,172.217.167.14,55092,443,281
4,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,172.217.167.14,55092,443,97
5,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,192.168.1.1,192.168.1.9,,,60
6,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,192.168.1.1,,,42
7,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,172.217.167.14,192.168.1.9,443,55092,66
8,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,172.217.167.14,192.168.1.9,443,55092,66
9,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,172.217.167.14,192.168.1.9,443,55092,66
10,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,172.217.167.14,192.168.1.9,443,55092,66
11,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,182.79.253.150,55292,443,1466
12,ec:84:b4:3c:ed:50,d4:61:9d:2b:dd:9a,192.168.1.9,182.79.253.150,55292,443,89
13,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,182.79.253.150,192.168.1.9,443,55292,66
14,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,182.79.253.150,192.168.1.9,443,55292,1466
15,d4:61:9d:2b:dd:9a,ec:84:b4:3c:ed:50,182.79.253.150,192.168.1.9,443,55292,1466
